,Problem,Alg_name,Iteration,Evaluations,Objectives,n_variables,xl,xu,exec_time,approx_nadir,solutions_shape,pop_size,path,image_location
693,ZDT3,NSGA3,1000,40000,2,10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],5.281493902206421,[0.84761228 0.90452879],49,40,/home/582/ow6835/MOOP/Result/ZDT3/NSGA3_ZDT3_10/ZDT3_NSGA3_Iteration-1000_Obj-2_Var-10.041104c2-76de-4f6d-976b-fd3c8b5974b6,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA3_ZDT3Var-10/ZDT3_NSGA3_Iteration-1000_Obj-2_Var-10_Pop_size40
694,ZDT3,RNSGA2,100,10000,2,10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.7840371131896973,[0.85170139 1.02699658],100,100,/home/582/ow6835/MOOP/Result/ZDT3/RNSGA2_ZDT3_10/ZDT3_RNSGA2_Iteration-100_Obj-2_Var-10.112541f0-b08f-482a-8797-b22aa1b53e75,/home/582/ow6835/MOOP/Result/Images/ZDT3/RNSGA2_ZDT3Var-10/ZDT3_RNSGA2_Iteration-100_Obj-2_Var-10_Pop_size100
695,ZDT3,NSGA3,100,10000,2,10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.034013032913208,[0.85193666 1.02515155],117,100,/home/582/ow6835/MOOP/Result/ZDT3/NSGA3_ZDT3_10/ZDT3_NSGA3_Iteration-100_Obj-2_Var-10.c64637b5-5470-4feb-a63b-ba8125d161c1,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA3_ZDT3Var-10/ZDT3_NSGA3_Iteration-100_Obj-2_Var-10_Pop_size100
696,ZDT3,RNSGA2,100,20000,2,10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],4.006126403808594,[0.84891765 1.00052556],200,200,/home/582/ow6835/MOOP/Result/ZDT3/RNSGA2_ZDT3_10/ZDT3_RNSGA2_Iteration-100_Obj-2_Var-10.dc2ca043-91b8-4c0c-9f5a-1aee603c14b8,/home/582/ow6835/MOOP/Result/Images/ZDT3/RNSGA2_ZDT3Var-10/ZDT3_RNSGA2_Iteration-100_Obj-2_Var-10_Pop_size200
697,ZDT3,NSGA3,100,20000,2,10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1.9506301879882808,[0.85059683 0.98497996],222,200,/home/582/ow6835/MOOP/Result/ZDT3/NSGA3_ZDT3_10/ZDT3_NSGA3_Iteration-100_Obj-2_Var-10.0e728714-6526-4ec7-ae01-d0fc7c4721f5,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA3_ZDT3Var-10/ZDT3_NSGA3_Iteration-100_Obj-2_Var-10_Pop_size200
698,ZDT3,NSGA3,500,100000,2,10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],10.731192111968994,[0.85156679 1.02073188],215,200,/home/582/ow6835/MOOP/Result/ZDT3/NSGA3_ZDT3_10/ZDT3_NSGA3_Iteration-500_Obj-2_Var-10.7dcbcce1-97c0-496c-aa36-31ca3f4a4fd0,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA3_ZDT3Var-10/ZDT3_NSGA3_Iteration-500_Obj-2_Var-10_Pop_size200
699,ZDT3,NSGA3,1000,100000,2,10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],11.50980019569397,[0.84855913 1.00786434],127,100,/home/582/ow6835/MOOP/Result/ZDT3/NSGA3_ZDT3_10/ZDT3_NSGA3_Iteration-1000_Obj-2_Var-10.d489a70e-66a4-42f8-babb-e34bea7da12f,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA3_ZDT3Var-10/ZDT3_NSGA3_Iteration-1000_Obj-2_Var-10_Pop_size100
700,ZDT3,NSGA2,200,8000,2,20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.9327890872955322,[0.85183916 1.0031301 ],40,40,/home/582/ow6835/MOOP/Result/ZDT3/NSGA2_ZDT3_20/ZDT3_NSGA2_Iteration-200_Obj-2_Var-20.254a9a91-4068-4d8c-9114-0cc506432900,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA2_ZDT3Var-20/ZDT3_NSGA2_Iteration-200_Obj-2_Var-20_Pop_size40
701,ZDT3,NSGA2,100,4000,2,20,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],0.4611353874206543,[0.85417452 1.07421504],40,40,/home/582/ow6835/MOOP/Result/ZDT3/NSGA2_ZDT3_20/ZDT3_NSGA2_Iteration-100_Obj-2_Var-20.c6bfa512-be18-49a8-b005-41f79652742a,/home/582/ow6835/MOOP/Result/Images/ZDT3/NSGA2_ZDT3Var-20/ZDT3_NSGA2_Iteration-100_Obj-2_Var-20_Pop_size40
702,ZDT3,AGNOMEN,1000,100000,2,10,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],29.661511659622192,[0.85183282 1.        ],100,100,/home/582/ow6835/MOOP/Result/ZDT3/AGNOMEN_ZDT3_10/ZDT3_AGNOMEN_Iteration-1000_Obj-2_Var-10.57326cc3-fdf9-4114-b13a-bcb35f34cdd8,/home/582/ow6835/MOOP/Result/Images/ZDT3/AGNOMEN_ZDT3Var-10/ZDT3_AGNOMEN_Iteration-1000_Obj-2_Var-10_Pop_size100
