3.216415069754374745e+00,5.645510323822591658e+00,6.795957679931248663e+00,6.788179452442571815e+00
4.063375717774828644e+00,5.954452664484146673e+00,6.541026342674395089e+00,5.671277883901490569e+00
2.162073181727961924e+00,6.126138627844297524e+00,6.054186978948973064e+00,4.762154644532245129e+00
5.784474297712395519e+00,6.388706561599132527e+00,7.485243842224712729e+00,1.590652886285883305e+00
4.180862426237775153e+00,5.773020270753654870e+00,6.062497722657082200e+00,5.559668995719748708e+00
3.174958665481882658e+00,6.421351918369978762e+00,6.708327181969231390e+00,2.022853933681970418e+00
4.432644242114959887e+00,5.973995582315129838e+00,6.967051578062469552e+00,1.537723503034746031e+00
4.149569304035710005e+00,5.387480262781841667e+00,7.531362674486917541e+00,6.132883603089224422e+00
3.828358976230521904e+00,5.819357399350427507e+00,7.486634584161851791e+00,1.362453563486396568e+00
4.565401307064637315e+00,6.869953430184144061e+00,7.298737172959794961e+00,3.091596010302063213e+00
2.040491249125629292e+00,6.497194726770436191e+00,7.637928591549063562e+00,8.718158669417132245e+00
2.152945143473706135e+00,6.713417902246344049e+00,6.159471738880119673e+00,2.682336853445598912e+00
6.065918520384523838e+00,6.818617794446138802e+00,6.816652629740532987e+00,2.472514718804147194e+00
2.490528775558462193e+00,5.595292288214994691e+00,6.722548381140694751e+00,6.501414515174416486e+00
2.826763681210514356e+00,6.911763238271188214e+00,7.987834874086079395e+00,5.151753425662188413e+00
3.658173817280416795e+00,6.489340908712280864e+00,7.788023643316328126e+00,4.709671364481399003e+00
6.588046767534289749e+00,6.051739185013532918e+00,6.744220219210316003e+00,7.524217570078230999e+00
3.608061336283945320e+00,6.324727081829450093e+00,7.485111173687066355e+00,4.904216843667919434e+00
5.211316219813594053e+00,5.253238258437644248e+00,7.164675974867563468e+00,6.781558344752657064e+00
4.807589362261522226e+00,5.561786465948157065e+00,6.347297736821035485e+00,5.098374308094903107e+00
3.106437196903165443e+00,6.332222499725585152e+00,7.482040582411188190e+00,6.224085722291514244e+00
3.343480115300754729e+00,5.536610091658871191e+00,6.136609864415601301e+00,1.382306758005106495e+00
4.288223999131319353e+00,6.535332803429692028e+00,7.576485334148384432e+00,4.698719061779788042e+00
6.379626813030110810e+00,6.936450922094278937e+00,7.577568665706092332e+00,8.443243050351352252e+00
6.826344548797419698e+00,6.014304180576430348e+00,7.213191227848801290e+00,7.334079301485216362e+00
6.503541992841802788e+00,5.963764221907090324e+00,7.407362503273470900e+00,3.477182264002648182e+00
3.434023505935829057e+00,6.525515866273833510e+00,7.146752274032895258e+00,3.832759931665035147e+00
3.804297477649627890e+00,6.525564939226260464e+00,6.468510071610865886e+00,4.573229138868016186e+00
4.219813805973452681e+00,5.915420565692900645e+00,6.298367577366841275e+00,8.694675674053673475e+00
6.909299393288326208e+00,6.254671823123237218e+00,6.479933141409931707e+00,8.338104913354101200e+00
2.569148804051200052e+00,5.110244462256361864e+00,6.418367616099977191e+00,6.181972458119671998e+00
